BioProject	SRA_Study	Run	Experiment	BioSample	SRA_Sample	Assay_Type	Platform	Instrument	LibraryLayout	Library_Name	Sample_Name	Organism	isolate
PRJEB33797	ERP116617	ERR3460958	ERX3482709	SAMEA5841278	ERS3629828	RNA-Seq	ILLUMINA	Illumina HiSeq 2500	SINGLE	Illumina	160_WT_II_p21_illumina	Human coronavirus 229E	NA
PRJEB33797	ERP116617	ERR3460959	ERX3482710	SAMEA5841279	ERS3629829	RNA-Seq	ILLUMINA	Illumina HiSeq 2500	SINGLE	Illumina	SL2_BCoV_III_p12pool_illumina	Human coronavirus 229E	NA
PRJEB33797	ERP116617	ERR3460960	ERX3482711	SAMEA5841280	ERS3629830	RNA-Seq	ILLUMINA	Illumina HiSeq 2500	SINGLE	Illumina	SL2_SARS_II_p12pool_illumina	Human coronavirus 229E	NA
PRJEB33797	ERP116617	ERR3460961	ERX3482712	SAMEA5841281	-	RNA-Seq	OXFORD_NANOPORE	MinION	SINGLE	-	WT_direct-rna_nanopore	Human coronavirus 229E	-
PRJEB33797	ERP116617	ERR3460962	ERX3482713	SAMEA5841282	-	RNA-Seq	OXFORD_NANOPORE	MinION	SINGLE	-	SL2_direct-rna_nanopore	Human coronavirus 229E	-
PRJEB38459	ERP121890	ERR4173381	ERX4136993	SAMEA6853602	ERS4581192	RNA-Seq	ILLUMINA	Illumina NovaSeq 6000	PAIRED	unspecified	SAMEA6853602 S-42	Severe acute respiratory syndrome coronavirus 2	NA
PRJEB38459	ERP121890	ERR4173382	ERX4136994	SAMEA6853602	ERS4581192	AMPLICON	OXFORD_NANOPORE	GridION	SINGLE	unspecified	SAMEA6853602 S-42	Severe acute respiratory syndrome coronavirus 2	NA
PRJNA607948	SRP250294	SRR11140744	SRX7777166	SAMN14154205	SRS6189924	WGS	ILLUMINA	Illumina MiSeq	PAIRED	veroSTAT-1KO_illumina	veroSTAT-1KO_illumina	Severe acute respiratory syndrome coronavirus 2	2019-nCoV/USA-WI1/2020 Illumina replicate - Vero STAT-1 KO
PRJNA607948	SRP250294	SRR11140745	SRX7777165	SAMN14154204	SRS6189920	WGS	OXFORD_NANOPORE	GridION	SINGLE	veroSTAT-1KO_ONT	veroSTAT-1KO_ONT	Severe acute respiratory syndrome coronavirus 2	2019-nCoV/USA-WI1/2020 ONT replicate - Vero STAT-1 KO
PRJNA607948	SRP250294	SRR11140746	SRX7777164	SAMN14154203	SRS6189919	WGS	ILLUMINA	Illumina MiSeq	PAIRED	veroE6_illumina	veroE6_illumina	Severe acute respiratory syndrome coronavirus 2	2019-nCoV/USA-WI1/2020 Illumina replicate - Vero E6
PRJNA607948	SRP250294	SRR11140747	SRX7777163	SAMN14154202	SRS6189917	WGS	OXFORD_NANOPORE	GridION	SINGLE	veroE6_ONT	veroE6_ONT	Severe acute respiratory syndrome coronavirus 2	2019-nCoV/USA-WI1/2020 ONT replicate - Vero E6
PRJNA607948	SRP250294	SRR11140748	SRX7777162	SAMN14154201	SRS6189918	WGS	ILLUMINA	Illumina MiSeq	PAIRED	vero76_illumina	vero76_illumina	Severe acute respiratory syndrome coronavirus 2	2019-nCoV/USA-WI1/2020 Illumina replicate - Vero 76
PRJNA607948	SRP250294	SRR11140749	SRX7777161	SAMN14154200	SRS6189916	WGS	OXFORD_NANOPORE	GridION	SINGLE	vero76_ONT	vero76_ONT	Severe acute respiratory syndrome coronavirus 2	2019-nCoV/USA-WI1/2020 ONT replicate - Vero 76
PRJNA607948	SRP250294	SRR11140750	SRX7777160	SAMN14154199	SRS6189914	WGS	ILLUMINA	Illumina MiSeq	PAIRED	swab_illumina	swab_illumina	Severe acute respiratory syndrome coronavirus 2	2019-nCoV/USA-WI1/2020 Illumina replicate - Swab
PRJNA607948	SRP250294	SRR11140751	SRX7777159	SAMN14154198	SRS6189915	WGS	OXFORD_NANOPORE	GridION	SINGLE	swab_ONT	swab_ONT	Severe acute respiratory syndrome coronavirus 2	2019-nCoV/USA-WI1/2020 ONT replicate - Swab
PRJNA616147	SRP254488	SRR11445485	SRX8023307	SAMN14483190	SRS6395996	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	EPI_ISL_417918	EPI_ISL_417918	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2/188407/human/2020/Malaysia
PRJNA616147	SRP254488	SRR11445486	SRX8023306	SAMN14483189	SRS6395995	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	EPI_ISL_417917	EPI_ISL_417917	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2/189332/human/2020/Malaysia
PRJNA616147	SRP254488	SRR11514749	SRX8086361	SAMN14483190	SRS6395996	AMPLICON	ILLUMINA	Illumina iSeq 100	PAIRED	S2	EPI_ISL_417918	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2/188407/human/2020/Malaysia
PRJNA616147	SRP254488	SRR11514750	SRX8086360	SAMN14483189	SRS6395995	AMPLICON	ILLUMINA	Illumina iSeq 100	PAIRED	LK1	EPI_ISL_417917	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2/189332/human/2020/Malaysia
PRJNA616147	SRP254488	SRR11542243	SRX8112342	SAMN14596409	SRS6477428	AMPLICON	ILLUMINA	Illumina iSeq 100	PAIRED	I4	EPI_ISL_417920	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2/190300/human/2020/Malaysia
PRJNA616147	SRP254488	SRR11542244	SRX8112341	SAMN14596408	SRS6477427	AMPLICON	ILLUMINA	Illumina iSeq 100	PAIRED	I3	EPI_ISL_417919	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2/186197/human/2020/Malaysia
PRJNA616147	SRP254488	SRR11547279	SRX8117329	SAMN14596408	SRS6477427	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	N3	EPI_ISL_417919	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2/186197/human/2020/Malaysia
PRJNA622817	SRP255151	SRR11476445	SRX8052698	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2847	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476446	SRX8052697	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2846	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476447	SRX8052696	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2845	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476448	SRX8052695	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2844	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476449	SRX8052694	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2843	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476450	SRX8052693	SAMN14530228	SRS6422657	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	E0133_BC41	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476451	SRX8052692	SAMN14530228	SRS6422657	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	E0133_BC40	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476452	SRX8052691	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2860	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476453	SRX8052690	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2859	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476454	SRX8052689	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2858	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476455	SRX8052688	SAMN14530228	SRS6422657	AMPLICON	OXFORD_NANOPORE	MinION	SINGLE	E0133_BC39	P200013	Severe acute respiratory syndrome coronavirus 2	A12
